,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
Retalhuleu,113,8,12,10,6,7,2,1,4,12,16,23,12,2020
San Marcos,178,18,16,15,19,14,4,4,9,19,15,21,24,2020
Huehuetenango,128,13,18,10,9,13,6,4,5,6,10,14,20,2020
Quiché,139,20,19,16,8,4,9,1,6,16,13,16,11,2020
Baja Verapaz,43,9,3,7,1,0,2,2,0,2,3,8,6,2020
Alta Verapaz,91,8,10,3,9,3,6,0,0,8,15,13,16,2020
Petén,118,19,25,12,2,3,1,9,5,4,14,12,12,2020
Izabal,122,14,17,17,4,8,4,1,4,15,18,12,8,2020
Zacapa,80,18,11,9,2,3,3,0,0,7,8,9,10,2020
Chiquimula,132,14,12,11,8,6,10,7,7,6,22,17,12,2020
Jalapa,95,5,19,7,2,0,2,1,3,13,7,3,33,2020
Jutiapa,124,22,31,20,7,6,2,2,2,3,14,3,12,2020
Guatemala,3687,307,197,244,240,374,410,366,346,351,293,342,217,2019
El Progreso,144,13,7,15,13,7,18,11,12,15,8,5,20,2019
Sacatepéquez,185,14,14,8,10,14,15,28,14,15,19,18,16,2019
Chimaltenango,171,8,15,13,14,17,11,7,22,14,16,22,12,2019
Escuintla,335,20,21,18,18,28,31,15,49,31,36,39,29,2019
Santa Rosa,189,17,18,11,7,22,13,17,17,13,20,14,20,2019
Sololá,104,7,5,6,9,15,0,10,15,9,10,10,8,2019
Totonicapán,128,5,11,9,10,10,20,13,10,11,17,9,3,2019
Quetzaltenango,739,53,63,55,36,68,46,74,66,62,83,86,47,2019
Suchitepéquez,195,13,7,12,10,19,20,15,13,15,29,25,17,2019
Retalhuleu,189,17,7,7,7,13,14,25,24,22,20,21,12,2019
San Marcos,267,20,19,14,13,25,31,26,26,15,19,35,24,2019
Huehuetenango,229,21,23,11,12,18,13,18,18,29,23,27,16,2019
Quiche,188,14,17,14,4,8,21,19,20,15,28,11,17,2019
Baja Verapaz,130,8,12,16,7,16,13,5,8,9,12,13,11,2019
Alta Verapaz,132,8,16,10,7,10,8,12,13,11,13,13,11,2019
Peten,212,24,19,20,9,23,10,13,19,20,20,13,22,2019
Izabal,208,15,17,18,21,12,8,26,24,20,17,12,18,2019
Zacapa,202,12,14,27,12,15,18,10,19,15,21,21,18,2019
Chiquimula,159,21,11,12,5,7,14,12,17,16,13,14,17,2019
Jalapa,212,35,12,17,9,21,12,24,24,12,24,14,8,2019
Jutiapa,198,15,14,12,8,18,29,19,22,23,9,13,16,2019
Guatemala,3494,264,237,292,260,262,359,264,370,344,309,301,232,2022
El Progreso,183,11,8,26,17,14,25,13,29,10,11,4,15,2022
Sacatepéquez,201,12,13,16,25,9,28,13,16,25,15,15,14,2022
Chimaltenango,209,17,15,28,23,18,15,19,17,18,14,11,14,2022
Escuintla,414,19,17,43,34,37,35,42,38,42,38,37,32,2022
Santa Rosa,311,25,15,47,14,22,21,33,32,21,30,18,33,2022
Sololá,125,19,15,11,4,6,14,6,12,6,12,9,11,2022
Totonicapán,161,11,11,19,13,19,16,12,14,13,14,11,8,2022
Quetzaltenango,957,67,71,81,79,85,92,68,112,72,100,73,57,2022
Suchitepéquez,479,33,23,41,35,37,46,43,54,46,42,55,24,2022
Retalhuleu,351,21,16,39,28,30,47,29,34,35,26,20,26,2022
San Marcos,484,32,28,37,51,37,48,40,47,42,37,45,40,2022
Huehuetenango,414,22,35,41,39,42,40,33,48,36,38,31,9,2022
Quiche,295,19,13,19,20,25,39,30,24,19,24,42,21,2022
Baja Verapaz,125,20,8,8,5,11,6,1,4,12,18,15,17,2022
Alta Verapaz,167,18,10,21,10,22,16,11,13,14,17,9,6,2022
Peten,343,36,18,35,19,23,27,18,39,38,31,24,35,2022
Izabal,251,11,23,27,19,16,24,17,28,25,24,26,11,2022
Zacapa,202,18,15,20,14,14,22,13,16,13,18,19,20,2022
Chiquimula,222,16,16,24,11,21,26,20,18,22,22,15,11,2022
Jalapa,268,22,15,37,6,3,50,16,17,22,32,25,23,2022
Jutiapa,294,13,18,17,20,33,25,21,32,38,26,22,29,2022
"Fuente: Estadísticas Vitales, INE",,,,,,,,,,,,,,2022
"Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros.",,,,,,,,,,,,,,2022
Guatemala,2221,118,169,184,179,228,201,189,207,205,229,164,148,2018
El Progreso,130,8,23,9,5,5,5,15,8,14,12,9,17,2018
Sacatepequez,169,10,13,9,18,18,8,13,11,21,16,21,11,2018
Chimaltenango,150,6,12,16,10,6,13,20,12,16,10,20,9,2018
Escuintla,267,11,27,18,17,33,18,28,31,17,18,23,26,2018
Santa Rosa,159,6,17,7,8,15,19,15,11,14,23,12,12,2018
Solola,72,6,5,3,4,7,5,11,6,9,3,7,6,2018
Totonicapan,124,8,7,8,11,9,14,14,5,3,17,16,12,2018
Quetzaltenango,582,43,43,41,29,50,51,33,57,69,67,53,46,2018
Suchitepequez,184,10,9,8,14,28,19,12,21,20,21,12,10,2018
Retalhuleu,149,15,13,16,11,17,9,13,10,12,13,9,11,2018
San Marcos,246,10,32,26,18,25,21,17,22,14,24,24,13,2018
Huehuetenango,190,19,20,12,12,15,23,15,15,15,14,20,10,2018
Quiche,190,13,25,20,11,19,20,8,11,14,21,20,8,2018
Baja Verapaz,133,16,15,10,14,9,3,12,10,12,10,10,12,2018
Alta Verapaz,138,7,12,7,16,15,15,7,15,9,12,13,10,2018
Peten,190,5,16,11,14,12,14,30,13,18,15,25,17,2018
Izabal,255,13,14,22,23,28,14,20,31,35,20,22,13,2018
Zacapa,149,13,13,4,9,17,17,12,14,15,12,10,13,2018
Chiquimula,151,10,8,15,13,19,15,17,13,15,15,7,4,2018
Jalapa,180,10,20,11,16,16,10,15,9,20,18,17,18,2018
Jutiapa,226,16,19,13,10,16,20,12,23,20,32,21,24,2018

,Grupos ocupacionales de la esposa,,,,,,,,,,,,,,
Grupos ocupacionales del esposo,Total,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Ocupación no especificada,Ignorado,Año,Operadores de intalaciones y máquinas y ensambladores
Todos los grupos ocupacionales,9621,3,25,910,397,692,300,0,39,31,23,5242,1959,2021,
Ocupaciones militares,22,2,0,2,1,3,2,0,0,0,0,11,1,2021,
Directores y gerentes,34,0,5,8,0,6,2,0,0,0,0,13,0,2021,
Profesionales científicos e intelectuales,703,0,7,244,49,67,14,0,2,2,0,286,32,2021,
Técnicos y profesionales de nivel medio,811,0,1,145,113,154,28,0,1,2,1,341,25,2021,
Personal de apoyo administrativo,411,0,0,66,38,97,16,0,1,1,3,167,22,2021,
Trabajadores de los servicios y vendedores de comercios y mercados,749,1,2,74,29,61,83,0,5,2,3,464,25,2021,
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",30,0,0,4,2,3,0,0,0,0,2,19,0,2021,
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",672,0,0,47,34,47,33,0,13,7,0,444,47,2021,
Operadores de instalaciones y máquinas y ensambladores,289,0,0,23,11,19,16,0,4,4,2,190,20,2021,
Ocupaciones elementales,1385,0,0,29,26,33,37,0,7,5,5,1132,111,2021,
No especificado en otro grupo,2730,0,10,243,80,185,56,0,4,6,0,2021,125,2021,
Ignorado,1785,0,0,25,14,17,13,0,2,2,7,154,1551,2021,
Todos los grupos ocupacionales,5575,1,22,454,126,354,130,0,21,,8,2735,1699,2014,25
Ocupaciones militares,12,0,0,4,1,1,0,0,0,,0,6,0,2014,0
Directores y gerentes,45,0,1,8,2,8,2,0,0,,0,21,2,2014,1
Profesionales científicos e intelectuales,386,0,10,132,23,38,13,0,1,,1,144,24,2014,0
Técnicos y profesionales de nivel medio,301,0,3,67,25,54,13,0,1,,1,111,26,2014,0
